,Unnamed: 0,POPESTIMATE2019,FIPS
977,977,6414,20145.0
978,978,5234,20147.0
979,979,24383,20149.0
980,980,9164,20151.0
981,981,2530,20153.0
982,982,61998,20155.0
983,983,4636,20157.0
984,984,9537,20159.0
985,985,74232,20161.0
986,986,4920,20163.0
987,987,3036,20165.0
988,988,6856,20167.0
989,989,54224,20169.0
990,990,4823,20171.0
991,991,516042,20173.0
992,992,21428,20175.0
993,993,176875,20177.0
994,994,2521,20179.0
995,995,5917,20181.0
996,996,3583,20183.0
997,997,4156,20185.0
998,998,2006,20187.0
999,999,5485,20189.0
1000,1000,22836,20191.0
1001,1001,7777,20193.0
1002,1002,2803,20195.0
1003,1003,6931,20197.0
1004,1004,1518,20199.0
1005,1005,5406,20201.0
1006,1006,2119,20203.0
1007,1007,8525,20205.0
1008,1008,3138,20207.0
1009,1009,165429,20209.0
1010,1010,4467673,21000.0
1011,1011,19202,21001.0
1012,1012,21315,21003.0
1013,1013,22747,21005.0
1014,1014,7888,21007.0
1015,1015,44249,21009.0
1016,1016,12500,21011.0
1017,1017,26032,21013.0
1018,1018,133581,21015.0
1019,1019,19788,21017.0
1020,1020,46718,21019.0
1021,1021,30060,21021.0
1022,1022,8303,21023.0
1023,1023,12630,21025.0
1024,1024,20477,21027.0
1025,1025,81676,21029.0
1026,1026,12879,21031.0
1027,1027,12747,21033.0
1028,1028,39001,21035.0
1029,1029,93584,21037.0
1030,1030,4760,21039.0
1031,1031,10631,21041.0
1032,1032,26797,21043.0
1033,1033,16159,21045.0
1034,1034,70461,21047.0
1035,1035,36263,21049.0
1036,1036,19901,21051.0
1037,1037,10218,21053.0
1038,1038,8806,21055.0
1039,1039,6614,21057.0
1040,1040,101511,21059.0
1041,1041,12150,21061.0
1042,1042,7517,21063.0
1043,1043,14106,21065.0
1044,1044,323152,21067.0
1045,1045,14581,21069.0
1046,1046,35589,21071.0
1047,1047,50991,21073.0
1048,1048,5969,21075.0
1049,1049,8869,21077.0
1050,1050,17666,21079.0
1051,1051,25069,21081.0
1052,1052,37266,21083.0
1053,1053,26427,21085.0
1054,1054,10941,21087.0
1055,1055,35098,21089.0
1056,1056,8722,21091.0
1057,1057,110958,21093.0
1058,1058,26010,21095.0
1059,1059,18886,21097.0
1060,1060,19035,21099.0
1061,1061,45210,21101.0
1062,1062,16126,21103.0
1063,1063,4380,21105.0
1064,1064,44686,21107.0
1065,1065,13329,21109.0
1066,1066,766757,21111.0
1067,1067,54115,21113.0
1068,1068,22188,21115.0
1069,1069,166998,21117.0
1070,1070,14806,21119.0
1071,1071,31145,21121.0
1072,1072,14398,21123.0
1073,1073,60813,21125.0
1074,1074,15317,21127.0
1075,1075,7403,21129.0
1076,1076,9877,21131.0
1077,1077,21553,21133.0
1078,1078,13275,21135.0
1079,1079,24549,21137.0
1080,1080,9194,21139.0
1081,1081,27102,21141.0
1082,1082,8210,21143.0
1083,1083,65418,21145.0
1084,1084,17231,21147.0
1085,1085,9207,21149.0
1086,1086,92987,21151.0
1087,1087,12161,21153.0
1088,1088,19273,21155.0
1089,1089,31100,21157.0
